date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:27	21417/21417	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:27%20GMT	https://laravel-admin.org/docs/en	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en.html	(from )
17:22:29	24/24	---M--	200	added ('OK')	text/plain	etag:%225bd15297-18%22	https://laravel-admin.org/robots.txt		(from )
17:22:29	1847/1847	---MCZ	200	added ('OK')	text/css	etag:W/%225f9689c2-737%22	https://laravel-admin.org/css/google-fonts.css	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/css/google-fonts.css	(from https://laravel-admin.org/docs/en)
17:22:30	58578/58578	---MCZ	200	added ('OK')	text/css	etag:W/%225ec44467-e4d2%22	https://laravel-admin.org/vendor/docs/plugins/fontawesome-free/css/all.min.css	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/vendor/docs/plugins/fontawesome-free/css/all.min.css	(from https://laravel-admin.org/docs/en)
17:22:31	19735/19735	---MCZ	200	added ('OK')	text/css	etag:W/%225ec44467-4d17%22	https://laravel-admin.org/vendor/docs/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/vendor/docs/plugins/overlayScrollbars/css/OverlayScrollbars.min.css	(from https://laravel-admin.org/docs/en)
17:22:31	2071/2071	---MCZ	200	added ('OK')	text/css	etag:W/%225f3386db-817%22	https://laravel-admin.org/vendor/docs/plugins/prism/prism.css	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/vendor/docs/plugins/prism/prism.css	(from https://laravel-admin.org/docs/en)
17:22:33	2099/2099	---MCZ	200	added ('OK')	text/css	etag:W/%225f369897-833%22	https://laravel-admin.org/vendor/docs/css/docs.css	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/vendor/docs/css/docs.css	(from https://laravel-admin.org/docs/en)
17:22:33	689674/689674	---MCZ	200	added ('OK')	text/css	etag:W/%225ec44467-a860a%22	https://laravel-admin.org/vendor/docs/css/adminlte.min.css	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/vendor/docs/css/adminlte.min.css	(from https://laravel-admin.org/docs/en)
17:22:34	18975/18975	---M-Z	200	added ('OK')	text/css	etag:W/%224a1f-CpG1pd4Wh0E5j9AIekidg+v/Nr4%22	https://cdn.jsdelivr.net/npm/docsearch.js@2/dist/cdn/docsearch.min.css	D:/laravel%20Admin%20docs/laravel%20Admin/cdn.jsdelivr.net/npm/docsearch.js@2/dist/cdn/docsearch.min.css	(from https://laravel-admin.org/docs/en)
17:22:35	88145/88145	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ec44467-15851%22	https://laravel-admin.org/vendor/docs/plugins/jquery/jquery.min.js	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/vendor/docs/plugins/jquery/jquery.min.js	(from https://laravel-admin.org/docs/en)
17:22:35	22975/22975	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:35%20GMT	https://laravel-admin.org/docs/zh/1.x/changelog	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/zh/1.x/changelog.html	(from https://laravel-admin.org/docs/en)
17:22:36	292/292	---MC-	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2011:22:36%20GMT	https://laravel-admin.org/docs/zh	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/zh	(from https://laravel-admin.org/docs/en)
17:22:37	24683/24683	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:37%20GMT	https://laravel-admin.org/docs/zh/1.x	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/zh/1.html	(from https://laravel-admin.org/docs/en)
17:22:38	21424/21424	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:38%20GMT	https://laravel-admin.org/docs/en/README	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/README.html	(from https://laravel-admin.org/docs/en)
17:22:39	46629/46629	---MCZ	200	added ('OK')	image/png	etag:W/%2259ad165c-b625%22	https://laravel-admin.org/images/logo.png	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/images/logo.png	(from https://laravel-admin.org/docs/en)
17:22:40	18767/18767	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:41%20GMT	https://laravel-admin.org/docs/en/installation	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/installation.html	(from https://laravel-admin.org/docs/en)
17:22:41	20963/20963	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:41%20GMT	https://laravel-admin.org/docs/en/quick-start	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/quick-start.html	(from https://laravel-admin.org/docs/en)
17:22:43	30372/30372	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:42%20GMT	https://laravel-admin.org/docs/en/configuration	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/configuration.html	(from https://laravel-admin.org/docs/en)
17:22:44	18226/18226	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:44%20GMT	https://laravel-admin.org/docs/en/updating	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/updating.html	(from https://laravel-admin.org/docs/en)
17:22:44	20345/20345	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:44%20GMT	https://laravel-admin.org/docs/en/content-layout	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/content-layout.html	(from https://laravel-admin.org/docs/en)
17:22:45	25550/25550	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:45%20GMT	https://laravel-admin.org/docs/en/model-grid	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid.html	(from https://laravel-admin.org/docs/en)
17:22:46	25891/25891	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:46%20GMT	https://laravel-admin.org/docs/en/model-grid-column	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-column.html	(from https://laravel-admin.org/docs/en)
17:22:47	38413/38413	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:46%20GMT	https://laravel-admin.org/docs/en/model-grid-column-display	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-column-display.html	(from https://laravel-admin.org/docs/en)
17:22:47	36340/36340	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:47%20GMT	https://laravel-admin.org/docs/en/model-grid-filters	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-filters.html	(from https://laravel-admin.org/docs/en)
17:22:48	19126/19126	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:48%20GMT	https://laravel-admin.org/docs/en/model-grid-column-filter	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-column-filter.html	(from https://laravel-admin.org/docs/en)
17:22:49	22620/22620	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:49%20GMT	https://laravel-admin.org/docs/en/model-grid-inline-edit	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-inline-edit.html	(from https://laravel-admin.org/docs/en)
17:22:50	18302/18302	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:50%20GMT	https://laravel-admin.org/docs/en/model-grid-actions	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-actions.html	(from https://laravel-admin.org/docs/en)
